call_id,call_datetime,call_date,call_hour,day_of_week,week_number,month,agent_id,agent_name,team,shift,skill_level,tenure_years,channel,queue,answered,resolved,disposition,speed_of_answer_sec,talk_time_sec,hold_time_sec,wrap_time_sec,handle_time_sec,sla_threshold_sec,sla_met,transfer_flag,repeat_call_flag,csat_score,quality_score
CC00001,2023-01-10 12:15:14,2023-01-10,12,Tuesday,2,2023-01,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Phone,Billing,Y,Y,Resolved,135.0,278.0,5.0,67.0,350.0,60.0,N,Y,N,5.0,85.2
CC00002,2023-02-01 14:02:01,2023-02-01,14,Wednesday,5,2023-02,AGT008,Hassan Mirza,Delta,Morning,Junior,1.9,Phone,Technical,Y,Y,Resolved,13.0,282.0,10.0,38.0,330.0,60.0,Y,N,N,2.0,69.3
CC00003,2023-03-13 14:14:28,2023-03-13,14,Monday,11,2023-03,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Chat,General,Y,Y,Resolved,20.0,273.0,6.0,41.0,320.0,20.0,Y,N,N,3.0,77.3
CC00004,2023-02-27 14:21:17,2023-02-27,14,Monday,9,2023-02,AGT001,Aaliya Khan,Alpha,Morning,Senior,3.2,Phone,Retention,Y,Y,Resolved,163.0,356.0,34.0,40.0,430.0,60.0,N,Y,N,4.0,63.3
CC00005,2023-02-02 18:06:22,2023-02-02,18,Thursday,5,2023-02,AGT004,David Osei,Beta,Afternoon,Junior,0.7,Email,Sales,Y,Y,Resolved,59.0,294.0,23.0,15.0,332.0,20.0,N,Y,N,4.0,78.1
CC00006,2023-06-14 13:59:24,2023-06-14,13,Wednesday,24,2023-06,AGT009,Isla Torres,Alpha,Afternoon,Mid,3.7,Phone,Technical,Y,Y,Resolved,21.0,201.0,52.0,34.0,287.0,60.0,Y,N,N,4.0,54.8
CC00007,2023-05-10 11:45:04,2023-05-10,11,Wednesday,19,2023-05,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Phone,Technical,Y,Y,Resolved,195.0,265.0,0.0,54.0,319.0,60.0,N,N,Y,5.0,87.2
CC00008,2023-01-30 15:55:06,2023-01-30,15,Monday,5,2023-01,AGT003,Carmen Diaz,Beta,Afternoon,Senior,5.8,Phone,Technical,Y,Y,Resolved,6.0,346.0,12.0,59.0,417.0,60.0,Y,N,N,3.0,61.6
CC00009,2023-02-28 17:22:13,2023-02-28,17,Tuesday,9,2023-02,AGT009,Isla Torres,Alpha,Afternoon,Mid,3.7,Chat,General,Y,Y,Resolved,35.0,218.0,42.0,35.0,295.0,20.0,N,N,N,4.0,94.8
CC00010,2023-01-26 10:34:46,2023-01-26,10,Thursday,4,2023-01,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Phone,Technical,Y,Y,Resolved,4.0,326.0,11.0,40.0,377.0,60.0,Y,N,N,4.0,80.3
CC00011,2023-03-21 17:53:49,2023-03-21,17,Tuesday,12,2023-03,AGT003,Carmen Diaz,Beta,Afternoon,Senior,5.8,Chat,Technical,Y,N,Escalated,4.0,255.0,79.0,37.0,371.0,20.0,Y,N,Y,4.0,79.9
CC00012,2023-04-06 13:13:58,2023-04-06,13,Thursday,14,2023-04,AGT003,Carmen Diaz,Beta,Afternoon,Senior,5.8,Email,Complaints,Y,Y,Resolved,42.0,296.0,7.0,40.0,343.0,20.0,N,Y,N,4.0,79.1
CC00013,2023-06-28 18:56:58,2023-06-28,18,Wednesday,26,2023-06,AGT003,Carmen Diaz,Beta,Afternoon,Senior,5.8,Chat,Billing,Y,Y,Resolved,13.0,219.0,85.0,32.0,336.0,20.0,Y,N,N,5.0,78.1
CC00014,2023-04-05 14:57:37,2023-04-05,14,Wednesday,14,2023-04,AGT002,Brandon Cole,Alpha,Morning,Junior,1.1,Phone,Billing,N,N,Abandoned,,,,,,,,N,Y,,
CC00015,2023-06-27 09:48:03,2023-06-27,9,Tuesday,26,2023-06,AGT010,James Park,Beta,Morning,Lead,7.2,Email,Billing,Y,Y,Resolved,30.0,175.0,1.0,30.0,206.0,20.0,N,N,N,3.0,76.0
CC00016,2023-06-01 09:24:24,2023-06-01,9,Thursday,22,2023-06,AGT002,Brandon Cole,Alpha,Morning,Junior,1.1,Chat,Technical,Y,N,Escalated,8.0,347.0,8.0,44.0,399.0,20.0,Y,N,N,2.0,85.3
CC00017,2023-01-04 21:46:07,2023-01-04,21,Wednesday,1,2023-01,AGT006,Felix Nguyen,Gamma,Evening,Mid,2.3,Chat,Sales,Y,Y,Resolved,50.0,218.0,54.0,46.0,318.0,20.0,N,Y,N,5.0,86.5
CC00018,2023-05-03 13:18:27,2023-05-03,13,Wednesday,18,2023-05,AGT003,Carmen Diaz,Beta,Afternoon,Senior,5.8,Phone,Billing,Y,N,Transferred,56.0,272.0,14.0,31.0,317.0,60.0,Y,Y,N,3.0,65.4
CC00019,2023-06-29 10:32:58,2023-06-29,10,Thursday,26,2023-06,AGT008,Hassan Mirza,Delta,Morning,Junior,1.9,Phone,Sales,N,N,Abandoned,,,,,,,,N,Y,,
CC00020,2023-06-30 15:09:23,2023-06-30,15,Friday,26,2023-06,AGT009,Isla Torres,Alpha,Afternoon,Mid,3.7,Chat,Sales,Y,Y,Resolved,59.0,295.0,22.0,64.0,381.0,20.0,N,N,N,4.0,85.4
CC00021,2023-01-02 13:31:01,2023-01-02,13,Monday,1,2023-01,AGT008,Hassan Mirza,Delta,Morning,Junior,1.9,Phone,Technical,Y,Y,Resolved,125.0,340.0,30.0,50.0,420.0,60.0,N,Y,N,4.0,67.4
CC00022,2023-04-20 11:03:15,2023-04-20,11,Thursday,16,2023-04,AGT010,James Park,Beta,Morning,Lead,7.2,Email,Complaints,Y,Y,Resolved,52.0,252.0,37.0,54.0,343.0,20.0,N,N,N,5.0,66.2
CC00023,2023-06-23 09:48:34,2023-06-23,9,Friday,25,2023-06,AGT001,Aaliya Khan,Alpha,Morning,Senior,3.2,Chat,Billing,Y,Y,Resolved,46.0,225.0,9.0,33.0,267.0,20.0,N,N,N,4.0,80.1
CC00024,2023-03-01 18:33:55,2023-03-01,18,Wednesday,9,2023-03,AGT005,Elena Petrov,Gamma,Evening,Mid,4.1,Chat,Retention,Y,Y,Resolved,34.0,392.0,6.0,85.0,483.0,20.0,N,N,N,3.0,81.8
CC00025,2023-03-14 12:25:42,2023-03-14,12,Tuesday,11,2023-03,AGT010,James Park,Beta,Morning,Lead,7.2,Chat,Technical,N,N,Abandoned,,,,,,,,N,Y,,
CC00026,2023-02-13 17:14:04,2023-02-13,17,Monday,7,2023-02,AGT006,Felix Nguyen,Gamma,Evening,Mid,2.3,Phone,Sales,Y,N,Escalated,3.0,271.0,102.0,56.0,429.0,60.0,Y,N,N,2.0,85.3
CC00027,2023-01-26 12:14:04,2023-01-26,12,Thursday,4,2023-01,AGT003,Carmen Diaz,Beta,Afternoon,Senior,5.8,Email,Complaints,Y,Y,Resolved,10.0,423.0,35.0,46.0,504.0,20.0,Y,N,N,4.0,66.3
CC00028,2023-03-27 12:42:31,2023-03-27,12,Monday,13,2023-03,AGT001,Aaliya Khan,Alpha,Morning,Senior,3.2,Phone,Billing,Y,Y,Resolved,115.0,292.0,36.0,60.0,388.0,60.0,N,N,N,4.0,68.8
CC00029,2023-06-20 11:50:30,2023-06-20,11,Tuesday,25,2023-06,AGT010,James Park,Beta,Morning,Lead,7.2,Email,Billing,Y,Y,Resolved,31.0,326.0,31.0,45.0,402.0,20.0,N,N,N,4.0,78.1
CC00030,2023-06-05 13:27:26,2023-06-05,13,Monday,23,2023-06,AGT001,Aaliya Khan,Alpha,Morning,Senior,3.2,Phone,General,Y,Y,Resolved,47.0,198.0,23.0,36.0,257.0,60.0,Y,Y,N,3.0,77.0
CC00031,2023-02-06 08:25:46,2023-02-06,8,Monday,6,2023-02,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Phone,Complaints,Y,Y,Resolved,5.0,500.0,7.0,46.0,553.0,60.0,Y,N,N,5.0,98.1
CC00032,2023-03-09 19:08:27,2023-03-09,19,Thursday,10,2023-03,AGT003,Carmen Diaz,Beta,Afternoon,Senior,5.8,Phone,Technical,N,N,Abandoned,,,,,,,,N,Y,,
CC00033,2023-01-27 19:51:55,2023-01-27,19,Friday,4,2023-01,AGT009,Isla Torres,Alpha,Afternoon,Mid,3.7,Email,Billing,Y,Y,Resolved,21.0,200.0,17.0,57.0,274.0,20.0,N,N,N,4.0,86.4
CC00034,2023-01-05 09:59:48,2023-01-05,9,Thursday,1,2023-01,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Email,Billing,Y,Y,Resolved,12.0,345.0,32.0,51.0,428.0,20.0,Y,N,N,5.0,88.4
CC00035,2023-03-17 22:25:57,2023-03-17,22,Friday,11,2023-03,AGT005,Elena Petrov,Gamma,Evening,Mid,4.1,Phone,Technical,Y,Y,Resolved,71.0,355.0,19.0,56.0,430.0,60.0,N,N,N,1.0,63.7
CC00036,2023-04-05 15:18:27,2023-04-05,15,Wednesday,14,2023-04,AGT010,James Park,Beta,Morning,Lead,7.2,Chat,General,Y,Y,Resolved,42.0,177.0,14.0,46.0,237.0,20.0,N,N,N,5.0,76.1
CC00037,2023-06-23 14:12:18,2023-06-23,14,Friday,25,2023-06,AGT009,Isla Torres,Alpha,Afternoon,Mid,3.7,Phone,Billing,Y,Y,Resolved,56.0,244.0,84.0,39.0,367.0,60.0,Y,N,N,5.0,61.1
CC00038,2023-01-23 13:03:03,2023-01-23,13,Monday,4,2023-01,AGT008,Hassan Mirza,Delta,Morning,Junior,1.9,Chat,Sales,N,N,Abandoned,,,,,,,,N,Y,,
CC00039,2023-02-27 12:32:05,2023-02-27,12,Monday,9,2023-02,AGT009,Isla Torres,Alpha,Afternoon,Mid,3.7,Email,Billing,Y,N,Escalated,178.0,210.0,11.0,48.0,269.0,20.0,N,N,N,2.0,71.7
CC00040,2023-05-25 13:56:36,2023-05-25,13,Thursday,21,2023-05,AGT009,Isla Torres,Alpha,Afternoon,Mid,3.7,Phone,Sales,N,N,Abandoned,,,,,,,,N,Y,,
CC00041,2023-05-31 13:59:16,2023-05-31,13,Wednesday,22,2023-05,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Phone,General,Y,Y,Resolved,72.0,158.0,41.0,36.0,235.0,60.0,N,N,N,4.0,77.4
CC00042,2023-05-23 14:42:41,2023-05-23,14,Tuesday,21,2023-05,AGT003,Carmen Diaz,Beta,Afternoon,Senior,5.8,Phone,Technical,Y,Y,Resolved,146.0,302.0,41.0,61.0,404.0,60.0,N,N,N,5.0,76.3
CC00043,2023-01-26 08:29:39,2023-01-26,8,Thursday,4,2023-01,AGT008,Hassan Mirza,Delta,Morning,Junior,1.9,Social,Retention,Y,Y,Resolved,3.0,454.0,90.0,43.0,587.0,60.0,Y,N,N,3.0,100.0
CC00044,2023-03-17 12:08:59,2023-03-17,12,Friday,11,2023-03,AGT001,Aaliya Khan,Alpha,Morning,Senior,3.2,Phone,Billing,Y,Y,Resolved,76.0,277.0,2.0,54.0,333.0,60.0,N,N,N,4.0,67.9
CC00045,2023-04-12 14:28:53,2023-04-12,14,Wednesday,15,2023-04,AGT003,Carmen Diaz,Beta,Afternoon,Senior,5.8,Phone,Technical,Y,Y,Resolved,6.0,353.0,28.0,36.0,417.0,60.0,Y,Y,N,4.0,69.9
CC00046,2023-01-04 12:59:42,2023-01-04,12,Wednesday,1,2023-01,AGT010,James Park,Beta,Morning,Lead,7.2,Phone,Complaints,Y,N,Escalated,3.0,229.0,50.0,23.0,302.0,60.0,Y,N,N,2.0,73.4
CC00047,2023-02-24 12:18:38,2023-02-24,12,Friday,8,2023-02,AGT010,James Park,Beta,Morning,Lead,7.2,Phone,Technical,Y,Y,Resolved,106.0,318.0,0.0,29.0,347.0,60.0,N,N,N,4.0,66.1
CC00048,2023-04-05 15:16:57,2023-04-05,15,Wednesday,14,2023-04,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Email,Billing,Y,N,Callback Scheduled,20.0,281.0,7.0,38.0,326.0,20.0,Y,Y,N,3.0,76.2
CC00049,2023-01-17 12:21:49,2023-01-17,12,Tuesday,3,2023-01,AGT009,Isla Torres,Alpha,Afternoon,Mid,3.7,Phone,Retention,N,N,Abandoned,,,,,,,,N,Y,,
CC00050,2023-06-08 14:35:00,2023-06-08,14,Thursday,23,2023-06,AGT002,Brandon Cole,Alpha,Morning,Junior,1.1,Phone,Complaints,Y,N,Transferred,54.0,321.0,29.0,72.0,422.0,60.0,Y,N,N,2.0,87.7
CC00051,2023-01-13 13:37:35,2023-01-13,13,Friday,2,2023-01,AGT002,Brandon Cole,Alpha,Morning,Junior,1.1,Phone,Billing,Y,N,Escalated,34.0,301.0,2.0,17.0,320.0,60.0,Y,N,N,1.0,80.3
CC00052,2023-01-16 13:13:43,2023-01-16,13,Monday,3,2023-01,AGT010,James Park,Beta,Morning,Lead,7.2,Phone,Billing,Y,N,Transferred,109.0,284.0,16.0,67.0,367.0,60.0,N,N,N,3.0,72.6
CC00053,2023-05-26 14:59:59,2023-05-26,14,Friday,21,2023-05,AGT009,Isla Torres,Alpha,Afternoon,Mid,3.7,Phone,Billing,Y,N,Transferred,49.0,260.0,55.0,43.0,358.0,60.0,Y,N,Y,1.0,65.2
CC00054,2023-05-29 08:11:47,2023-05-29,8,Monday,22,2023-05,AGT002,Brandon Cole,Alpha,Morning,Junior,1.1,Email,General,Y,N,Callback Scheduled,92.0,275.0,86.0,49.0,410.0,20.0,N,N,N,2.0,56.8
CC00055,2023-03-30 12:10:50,2023-03-30,12,Thursday,13,2023-03,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Chat,Technical,Y,Y,Resolved,11.0,404.0,13.0,68.0,485.0,20.0,Y,N,N,4.0,100.0
CC00056,2023-06-19 11:12:52,2023-06-19,11,Monday,25,2023-06,AGT001,Aaliya Khan,Alpha,Morning,Senior,3.2,Email,Technical,Y,Y,Resolved,44.0,402.0,15.0,47.0,464.0,20.0,N,N,N,5.0,86.5
CC00057,2023-03-23 15:01:42,2023-03-23,15,Thursday,12,2023-03,AGT009,Isla Torres,Alpha,Afternoon,Mid,3.7,Phone,Technical,Y,N,Transferred,23.0,181.0,17.0,66.0,264.0,60.0,Y,N,N,3.0,49.9
CC00058,2023-04-11 13:41:32,2023-04-11,13,Tuesday,15,2023-04,AGT010,James Park,Beta,Morning,Lead,7.2,Phone,Retention,Y,Y,Resolved,89.0,418.0,8.0,56.0,482.0,60.0,N,N,N,4.0,80.8
CC00059,2023-01-11 16:56:16,2023-01-11,16,Wednesday,2,2023-01,AGT006,Felix Nguyen,Gamma,Evening,Mid,2.3,Phone,Retention,Y,N,Escalated,3.0,304.0,12.0,52.0,368.0,60.0,Y,N,Y,4.0,72.2
CC00060,2023-06-06 13:46:50,2023-06-06,13,Tuesday,23,2023-06,AGT001,Aaliya Khan,Alpha,Morning,Senior,3.2,Phone,Sales,Y,Y,Resolved,10.0,222.0,2.0,36.0,260.0,60.0,Y,N,N,2.0,73.7
CC00061,2023-05-18 20:12:16,2023-05-18,20,Thursday,20,2023-05,AGT006,Felix Nguyen,Gamma,Evening,Mid,2.3,Phone,Technical,Y,N,Callback Scheduled,3.0,361.0,2.0,63.0,426.0,60.0,Y,N,Y,3.0,68.6
CC00062,2023-03-13 17:27:04,2023-03-13,17,Monday,11,2023-03,AGT009,Isla Torres,Alpha,Afternoon,Mid,3.7,Email,Complaints,Y,Y,Resolved,25.0,573.0,13.0,40.0,626.0,20.0,N,N,N,4.0,64.1
CC00063,2023-02-14 12:32:19,2023-02-14,12,Tuesday,7,2023-02,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Chat,Technical,Y,Y,Resolved,4.0,441.0,8.0,8.0,457.0,20.0,Y,N,N,4.0,75.4
CC00064,2023-02-15 11:26:42,2023-02-15,11,Wednesday,7,2023-02,AGT008,Hassan Mirza,Delta,Morning,Junior,1.9,Email,General,Y,N,Voicemail Left,7.0,210.0,34.0,58.0,302.0,20.0,Y,N,N,2.0,76.0
CC00065,2023-04-19 14:35:53,2023-04-19,14,Wednesday,16,2023-04,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Phone,Technical,Y,Y,Resolved,25.0,288.0,13.0,34.0,335.0,60.0,Y,N,N,2.0,87.3
CC00066,2023-04-26 19:28:28,2023-04-26,19,Wednesday,17,2023-04,AGT005,Elena Petrov,Gamma,Evening,Mid,4.1,Chat,Sales,Y,Y,Resolved,4.0,247.0,5.0,35.0,287.0,20.0,Y,N,N,3.0,69.5
CC00067,2023-03-02 13:18:32,2023-03-02,13,Thursday,9,2023-03,AGT009,Isla Torres,Alpha,Afternoon,Mid,3.7,Chat,Sales,Y,N,Escalated,29.0,307.0,60.0,43.0,410.0,20.0,N,N,N,2.0,69.6
CC00068,2023-03-27 12:14:51,2023-03-27,12,Monday,13,2023-03,AGT010,James Park,Beta,Morning,Lead,7.2,Phone,Billing,Y,Y,Resolved,37.0,295.0,6.0,33.0,334.0,60.0,Y,N,N,4.0,43.1
CC00069,2023-06-20 13:29:26,2023-06-20,13,Tuesday,25,2023-06,AGT003,Carmen Diaz,Beta,Afternoon,Senior,5.8,Email,Sales,Y,Y,Resolved,18.0,200.0,19.0,49.0,268.0,20.0,Y,N,Y,4.0,71.1
CC00070,2023-05-18 15:25:15,2023-05-18,15,Thursday,20,2023-05,AGT008,Hassan Mirza,Delta,Morning,Junior,1.9,Phone,General,N,N,Abandoned,,,,,,,,N,Y,,
